Class,dt1,dt2,dt3,dt4,dt5,dt6,dt7,dt8,dt9,dt10,dt11,dt12,dt13,dt14,Acc,LI
1,20,207,0,-178,19,205,-63,0,-86,-5,0,-56000,0,1,-0.023952096,0.473552894
1,464,-48,0,503,-66,-413,-132,0,-356,-545,913,-85900,1030600,531,0.001131862,0.247877759
1,433,415,0,-47,-41,179,234,0,516,34,242,-889600,1846268,475,-0.061410788,0.257261411
1,-4230,-528,-6,-651,-5578,-2134,-315,39,65,1703,0,-3000,0,1349,-0.041602041,0.527768049
1,1924,522,-62,164,2335,1044,125,3,73,48,0,-45000,0,-412,-0.064362869,0.773978722
1,-28150,-7353,0,-297,-21148,-25003,-99,-94,3250,-6023,-2057,114988300,161565100,-7002,0.334174659,0.756688541
1,195,25,0,63,58,1276,180,1,127,202,-148,-10600,35000,137,-0.102351624,0.489361702
1,7581,1250,224,8033,6889,-9349,-972,-25,-721,1733,0,-65000,0,691,-0.03742759,0.768046065
1,-228,236,14,336,-532,1434,417,-8,444,254,-690,616200,0,304,-0.199710564,0.309696093
1,1170,627,0,134,820,767,536,0,243,-505,-118,274900,1632000,350,-0.199145299,0.700854701
1,10302,2483,273,5555,7894,8618,2014,-24,968,2250,-4779,-213900,223500,2408,-0.050246963,0.696275531
1,734,29,0,592,690,1295,326,0,214,56,-19,25000,0,44,0.01363738,0.218198077
1,1438,13,0,1163,1170,1640,417,-7,413,611,0,8800,9600000,268,-0.057000711,0.597915186
1,4358,47,19,556,3779,2119,515,27,263,578,0,-8500,0,579,0.345809341,0.823736404
1,1199,103,150,942,884,1835,215,0,43,422,0,237400,0,314,-0.027834352,0.24263408
1,656,49,0,374,490,1174,128,0,36,149,-873,5100,25200,166,-0.23094959,0.533411489
1,494,-5697,0,-496,163,-7212,-140,-4,57,342,0,-65800,0,331,-0.011741123,0.766800305
1,16595,-21267,1127,49253,21619,31745,9374,-45,598,7328,0,546100,0,-5024,-0.185321174,0.349532431
1,10156,18,-321,10745,3897,5020,465,46,606,4714,-1,-16200,-120000,6259,-0.0512733,0.238053052
1,-3824,-16822,-14075,12976,-6531,77,151,49,877,2773,0,-30800,0,2706,-0.01175742,0.510343837
1,869,-42,-17,117,1513,3072,1066,3,718,3073,0,11900,20353720,-645,-0.030900814,0.424828712
1,-27005,-27485,0,182,-10232,364,-67,-802,-1403,192,0,25800,0,-16773,-0.021426296,0.277296812
1,1599,524,54,-447,-20,1017,565,9,321,1366,0,-34000,0,1619,0.027538205,0.449008927
